Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Dispensary_Cms_Suite,Chrome 66.0.3359.181,,2018-05-29 11:00:37,2018-05-29 11:48:39,48m - 2.398s,ERROR
,,,,,,
Test Cases/DISPENSARY TEST CASES/TC_DP_013 Verify Schedule 1 Dispensary To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-05-29 11:00:37,2018-05-29 11:14:41,14m - 3.589s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-29 11:00:37,2018-05-29 11:00:41,3.338s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-29 11:00:41,2018-05-29 11:00:53,12.090s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-29 11:00:53,2018-05-29 11:00:54,1.151s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:00:54,2018-05-29 11:01:06,12.429s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:01:06,2018-05-29 11:01:07,0.285s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:01:07,2018-05-29 11:01:07,0.409s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:01:07,2018-05-29 11:01:10,3.025s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:01:10,2018-05-29 11:01:41,30.881s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:01:41,2018-05-29 11:01:44,3.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:01:44,2018-05-29 11:01:44,0.158s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:01:44,2018-05-29 11:02:06,21.410s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:02:06,2018-05-29 11:02:08,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-29 11:02:08,2018-05-29 11:02:08,0.242s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-29 11:02:08,2018-05-29 11:02:08,0.273s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DispensaryToCms/Page_Dispensary Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-05-29 11:02:08,2018-05-29 11:02:08,0.112s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.181,,2018-05-29 11:02:08,2018-05-29 11:02:20,11.997s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-05-29 11:02:20,2018-05-29 11:02:20,0.063s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:02:20,2018-05-29 11:02:20,0.108s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:02:20,2018-05-29 11:02:23,3.001s,PASSED
Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DispensaryToCms/Page_Dispensary Store/font_PRNO18052018174)),Chrome 66.0.3359.181,,2018-05-29 11:02:23,2018-05-29 11:02:24,0.065s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-05-29 11:02:24,2018-05-29 11:02:24,0.009s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-05-29 11:02:24,2018-05-29 11:02:24,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:02:24,2018-05-29 11:02:45,21.271s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:02:45,2018-05-29 11:02:48,3.001s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:02:48,2018-05-29 11:02:48,0.065s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:02:48,2018-05-29 11:02:48,0.088s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:02:48,2018-05-29 11:03:09,21.300s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:03:09,2018-05-29 11:03:12,3.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-29 11:03:12,2018-05-29 11:03:33,21.060s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:03:33,2018-05-29 11:03:34,0.594s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:03:34,2018-05-29 11:03:34,0.165s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:03:34,2018-05-29 11:03:34,0.192s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:03:34,2018-05-29 11:03:37,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:03:37,2018-05-29 11:03:59,21.698s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:03:59,2018-05-29 11:04:02,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:02,2018-05-29 11:04:02,0.148s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:04:02,2018-05-29 11:04:04,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:04,2018-05-29 11:04:50,45.879s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-29 11:04:50,2018-05-29 11:04:50,0.180s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:50,2018-05-29 11:04:50,0.092s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC - CMO/input_1), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.181,,2018-05-29 11:04:50,2018-05-29 11:04:50,0.013s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:50,2018-05-29 11:04:51,0.642s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:04:51,2018-05-29 11:04:53,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-29 11:04:53,2018-05-29 11:04:53,0.197s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:53,2018-05-29 11:04:53,0.094s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:04:53,2018-05-29 11:04:55,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:04:55,2018-05-29 11:05:26,30.639s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:05:26,2018-05-29 11:05:29,3.001s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-29 11:05:29,2018-05-29 11:05:50,20.924s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:05:50,2018-05-29 11:05:50,0.115s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:05:50,2018-05-29 11:06:11,21.164s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:06:11,2018-05-29 11:06:14,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:06:14,2018-05-29 11:06:39,24.799s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:06:39,2018-05-29 11:06:39,0.145s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-29 11:06:39,2018-05-29 11:06:39,0.134s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:06:39,2018-05-29 11:06:42,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:06:42,2018-05-29 11:07:19,36.925s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-29 11:07:19,2018-05-29 11:07:22,3.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-29 11:07:22,2018-05-29 11:07:22,0.130s,PASSED
