Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Dispensary_Store_Suite,Chrome 66.0.3359.181,,2018-06-10 20:21:54,2018-06-10 21:22:19,1h - 25.268s,FAILED
,,,,,,
Test Cases/DISPENSARY TEST CASES/TC_DP_001 Verify Schedule 1 Dispensary Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 20:21:54,2018-06-10 20:30:28,8m - 33.804s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-10 20:21:55,2018-06-10 20:21:58,3.017s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 20:21:58,2018-06-10 20:22:00,1.620s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 20:22:00,2018-06-10 20:22:01,1.148s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:22:01,2018-06-10 20:22:02,0.997s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:22:02,2018-06-10 20:22:02,0.148s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:22:02,2018-06-10 20:22:02,0.220s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:22:02,2018-06-10 20:22:05,3.021s,PASSED
sendKeys,Chrome 66.0.3359.181,,2018-06-10 20:22:05,2018-06-10 20:22:06,0.928s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:22:06,2018-06-10 20:22:09,3.001s,PASSED
doubleClick,Chrome 66.0.3359.181,,2018-06-10 20:22:09,2018-06-10 20:22:09,0.139s,PASSED
doubleClick,Chrome 66.0.3359.181,,2018-06-10 20:22:09,2018-06-10 20:22:10,0.698s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 20:22:10,2018-06-10 20:22:10,0.185s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DispensaryToStore/Page_Dispensary Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-10 20:22:10,2018-06-10 20:22:10,0.300s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.181,,2018-06-10 20:22:10,2018-06-10 20:24:01,1m - 50.184s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 20:24:01,2018-06-10 20:24:01,0.049s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:01,2018-06-10 20:24:01,0.110s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:01,2018-06-10 20:24:04,3.000s,PASSED
Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DispensaryToStore/Page_Dispensary Store/font_HPRNO180520187)),Chrome 66.0.3359.181,,2018-06-10 20:24:04,2018-06-10 20:24:04,0.058s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-06-10 20:24:04,2018-06-10 20:24:04,0.006s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-06-10 20:24:04,2018-06-10 20:24:04,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:04,2018-06-10 20:24:04,0.579s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:04,2018-06-10 20:24:07,3.001s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-10 20:24:07,2018-06-10 20:24:07,0.036s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:07,2018-06-10 20:24:08,0.080s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:08,2018-06-10 20:24:08,0.635s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:08,2018-06-10 20:24:11,3.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 20:24:11,2018-06-10 20:24:12,0.377s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:12,2018-06-10 20:24:12,0.658s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:24:12,2018-06-10 20:24:12,0.107s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:24:12,2018-06-10 20:24:12,0.101s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:12,2018-06-10 20:24:15,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:15,2018-06-10 20:24:16,0.964s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:16,2018-06-10 20:24:19,2.178s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:19,2018-06-10 20:24:21,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:21,0.205s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:21,0.085s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:21,0.185s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:21,0.061s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC - CMO/input_1), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:21,0.012s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:21,2018-06-10 20:24:22,0.590s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:22,2018-06-10 20:24:24,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 20:24:24,2018-06-10 20:24:24,0.141s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:24,2018-06-10 20:24:24,0.090s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:24,2018-06-10 20:24:26,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:26,2018-06-10 20:24:27,0.617s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:27,2018-06-10 20:24:29,2.001s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-10 20:24:29,2018-06-10 20:24:49,20.517s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:49,2018-06-10 20:24:49,0.079s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:49,2018-06-10 20:24:50,0.594s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:50,2018-06-10 20:24:53,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:53,2018-06-10 20:24:54,0.779s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:24:54,2018-06-10 20:24:54,0.112s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 20:24:54,2018-06-10 20:24:54,0.107s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 20:24:54,2018-06-10 20:24:57,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 20:24:57,2018-06-10 20:24:59,1.813s,PASSED
