Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Emergency_Suit,Chrome 66.0.3359.139,It Contains All The Schedule Emergency Request,2018-05-15 13:34:26,2018-05-15 13:55:19,20m - 53.209s,FAILED
,,,,,,
Test Cases/EMERGENCY TEST CASES/TC_ER_001 Verify Schedule 1 Emergency  Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-15 13:34:27,2018-05-15 13:36:34,2m - 7.674s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 13:34:27,2018-05-15 13:34:30,2.921s,PASSED
"Statement - out.println(""Verify Schedule 1 Emergency  Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-15 13:34:30,2018-05-15 13:34:30,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 13:34:30,2018-05-15 13:34:33,3.309s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-15 13:34:33,2018-05-15 13:34:34,1.151s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:34:34,2018-05-15 13:34:35,0.201s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:34:35,2018-05-15 13:34:35,0.113s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:34:35,2018-05-15 13:34:38,3.014s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:34:38,2018-05-15 13:34:39,1.430s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:34:39,2018-05-15 13:34:42,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:34:42,2018-05-15 13:34:42,0.134s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:34:42,2018-05-15 13:34:44,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:34:44,2018-05-15 13:34:45,0.654s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:34:45,2018-05-15 13:34:47,2.003s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:34:47,2018-05-15 13:34:47,0.197s,PASSED
Statement - seletedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - Emergency/select_--Select--Adernaline 0.)),Chrome 66.0.3359.139,,2018-05-15 13:34:47,2018-05-15 13:34:47,0.103s,PASSED
"Statement - For ([u = 1, u < seletedoptions, (u++)])",Chrome 66.0.3359.139,,2018-05-15 13:34:47,2018-05-15 13:36:34,1m - 46.936s,FAILED
,,,,,,
Test Cases/EMERGENCY TEST CASES/TC_ER_002 Verify Schedule 3 Emergency  Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-15 13:36:34,2018-05-15 13:39:06,2m - 31.981s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 13:36:35,2018-05-15 13:36:37,2.611s,PASSED
"Statement - out.println(""Verify Schedule 3 Emergency  Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-15 13:36:37,2018-05-15 13:36:37,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 13:36:37,2018-05-15 13:36:40,2.547s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-15 13:36:40,2018-05-15 13:36:41,1.134s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:36:41,2018-05-15 13:36:41,0.139s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:36:41,2018-05-15 13:36:41,0.106s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:36:41,2018-05-15 13:36:44,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:36:44,2018-05-15 13:36:45,0.937s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:36:45,2018-05-15 13:36:48,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:36:48,2018-05-15 13:36:48,0.119s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:36:48,2018-05-15 13:36:50,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:36:50,2018-05-15 13:36:51,1.184s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:36:51,2018-05-15 13:36:53,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:36:53,2018-05-15 13:36:53,0.186s,PASSED
Statement - seletedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - Emergency/select_--Select--Adernaline 0.)),Chrome 66.0.3359.139,,2018-05-15 13:36:53,2018-05-15 13:36:54,0.081s,PASSED
"Statement - For ([u = 1, u < seletedoptions - 1, (u++)])",Chrome 66.0.3359.139,,2018-05-15 13:36:54,2018-05-15 13:37:14,20.589s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-15 13:37:14,2018-05-15 13:37:14,0.047s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:14,2018-05-15 13:37:14,0.083s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:14,2018-05-15 13:37:17,3.000s,PASSED
Statement - RequestNumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - Emergency/font_ERNO100520183)),Chrome 66.0.3359.139,,2018-05-15 13:37:17,2018-05-15 13:37:17,0.078s,PASSED
"Statement - Rno = RequestNumber.split(""/"")[2]",Chrome 66.0.3359.139,,2018-05-15 13:37:17,2018-05-15 13:37:17,0.004s,PASSED
Statement - out.println(Rno),Chrome 66.0.3359.139,,2018-05-15 13:37:17,2018-05-15 13:37:17,0.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:17,2018-05-15 13:37:19,1.518s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:19,2018-05-15 13:37:22,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:22,2018-05-15 13:37:22,0.124s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:22,2018-05-15 13:37:23,1.395s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:23,2018-05-15 13:37:26,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:26,2018-05-15 13:37:29,2.128s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:37:29,2018-05-15 13:37:29,0.108s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:37:29,2018-05-15 13:37:29,0.115s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:29,2018-05-15 13:37:32,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:32,2018-05-15 13:37:36,4.468s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:36,2018-05-15 13:37:38,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:38,2018-05-15 13:37:39,0.609s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:37:39,2018-05-15 13:37:39,0.231s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:37:39,2018-05-15 13:37:39,0.150s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:39,2018-05-15 13:37:39,0.098s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - CMO/input_3), ""xpath"", ""equals"", ""//*[@id="" + Rno + ""]"", true)",Chrome 66.0.3359.139,,2018-05-15 13:37:39,2018-05-15 13:37:39,0.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:39,2018-05-15 13:37:40,0.605s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:40,2018-05-15 13:37:42,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:37:42,2018-05-15 13:37:42,0.158s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:42,2018-05-15 13:37:42,0.089s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:42,2018-05-15 13:37:44,2.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:44,2018-05-15 13:37:45,1.017s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:45,2018-05-15 13:37:47,2.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:47,2018-05-15 13:37:47,0.081s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:47,2018-05-15 13:37:48,1.150s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:48,2018-05-15 13:37:51,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:51,2018-05-15 13:37:52,0.903s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:37:52,2018-05-15 13:37:52,0.111s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:37:52,2018-05-15 13:37:53,0.113s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:53,2018-05-15 13:37:56,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:56,2018-05-15 13:37:57,1.190s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:37:57,2018-05-15 13:37:59,2.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:59,2018-05-15 13:37:59,0.165s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:37:59,2018-05-15 13:38:00,0.621s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:38:00,2018-05-15 13:38:00,0.144s,PASSED
"Statement - ChooseRequest = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_Store/input_3), ""xpath"", ""equals"", ""//*[@id="" + Rno + ""]"", true)",Chrome 66.0.3359.139,,2018-05-15 13:38:00,2018-05-15 13:38:00,0.004s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:38:00,2018-05-15 13:38:00,0.588s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:38:00,2018-05-15 13:38:02,2.001s,PASSED
Statement - selectedoptions1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_Store/select_--Select--Amikacin -500)),Chrome 66.0.3359.139,,2018-05-15 13:38:02,2018-05-15 13:38:02,0.065s,PASSED
"Statement - out.println(""Soptions : "" + selectedoptions1)",Chrome 66.0.3359.139,,2018-05-15 13:38:02,2018-05-15 13:38:02,0.001s,PASSED
"Statement - For ([a = 1, a <= selectedoptions1, (a++)])",Chrome 66.0.3359.139,,2018-05-15 13:38:02,2018-05-15 13:39:06,1m - 3.850s,FAILED
,,,,,,
Test Cases/EMERGENCY TEST CASES/TC_ER_003 Verify Schedule 5 Emergency  Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-15 13:39:06,2018-05-15 13:42:30,3m - 23.800s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 13:39:06,2018-05-15 13:39:09,2.648s,PASSED
"Statement - out.println(""Verify Schedule 5 Emergency  Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-15 13:39:09,2018-05-15 13:39:09,0.000s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 13:39:09,2018-05-15 13:39:13,3.648s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-15 13:39:13,2018-05-15 13:39:14,1.125s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:39:14,2018-05-15 13:39:14,0.129s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 13:39:14,2018-05-15 13:39:14,0.103s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:39:14,2018-05-15 13:39:17,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:39:17,2018-05-15 13:39:18,1.040s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:39:18,2018-05-15 13:39:21,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:39:21,2018-05-15 13:39:21,0.102s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:39:21,2018-05-15 13:39:23,2.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 13:39:23,2018-05-15 13:39:24,0.674s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-15 13:39:24,2018-05-15 13:39:26,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-15 13:39:26,2018-05-15 13:39:26,0.197s,PASSED
Statement - seletedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - Emergency/select_--Select--Adernaline 0.)),Chrome 66.0.3359.139,,2018-05-15 13:39:26,2018-05-15 13:39:26,0.068s,PASSED
Statement - out.println(seletedoptions),Chrome 66.0.3359.139,,2018-05-15 13:39:26,2018-05-15 13:39:26,0.001s,PASSED
