Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Emergency_Suite,Chrome 66.0.3359.181,It Contains All The Schedule Emergency Request,2018-06-10 19:39:25,2018-06-10 20:16:45,37m - 19.677s,PASSED
,,,,,,
Test Cases/EMERGENCY TEST CASES/TC_ER_001 Verify Schedule 1 Emergency  Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 19:39:26,2018-06-10 19:48:28,9m - 2.333s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-10 19:39:26,2018-06-10 19:39:29,3.009s,PASSED
"Statement - out.println(""Verify Schedule 1 Emergency  Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-06-10 19:39:29,2018-06-10 19:39:29,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 19:39:29,2018-06-10 19:39:31,2.089s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 19:39:31,2018-06-10 19:39:33,1.147s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 19:39:33,2018-06-10 19:39:33,0.173s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 19:39:33,2018-06-10 19:39:33,0.116s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 19:39:33,2018-06-10 19:39:36,3.017s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 19:39:36,2018-06-10 19:39:37,1.163s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 19:39:37,2018-06-10 19:39:40,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 19:39:40,2018-06-10 19:39:40,0.122s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 19:39:40,2018-06-10 19:39:42,2.003s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 19:39:42,2018-06-10 19:39:43,0.615s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 19:39:43,2018-06-10 19:39:45,2.003s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 19:39:45,2018-06-10 19:39:45,0.194s,PASSED
Statement - seletedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Emergency/Page_KDMC - Emergency/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-10 19:39:45,2018-06-10 19:39:45,0.090s,PASSED
"Statement - For ([u = 1, u < seletedoptions, (u++)])",Chrome 66.0.3359.181,,2018-06-10 19:39:45,2018-06-10 19:40:31,46.036s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 19:40:31,2018-06-10 19:40:31,0.056s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 19:40:31,2018-06-10 19:40:31,0.122s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 19:40:31,2018-06-10 19:40:34,3.001s,PASSED
