Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HealthPost_CMS_Suite,Chrome 66.0.3359.181,,2018-06-10 18:53:23,2018-06-10 19:32:30,39m - 7.284s,ERROR
,,,,,,
Test Cases/HEALTHPOST TEST CASES/TC_HP_013 Verify Schedule 1 Healthpost To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 18:53:23,2018-06-10 18:57:27,4m - 3.455s,ERROR
openBrowser,Chrome 66.0.3359.181,,2018-06-10 18:53:24,2018-06-10 18:53:27,3.504s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 18:53:27,2018-06-10 18:53:30,2.287s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 18:53:30,2018-06-10 18:53:31,1.141s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:53:31,2018-06-10 18:53:32,0.839s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 18:53:32,2018-06-10 18:53:32,0.150s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 18:53:32,2018-06-10 18:53:32,0.129s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:53:32,2018-06-10 18:53:35,3.019s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:53:35,2018-06-10 18:53:36,0.907s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:53:36,2018-06-10 18:53:39,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:53:39,2018-06-10 18:53:39,0.136s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:53:39,2018-06-10 18:53:40,0.660s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:53:40,2018-06-10 18:53:42,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 18:53:42,2018-06-10 18:53:42,0.198s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 18:53:42,2018-06-10 18:53:42,0.170s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(HealthpostToCms/Page_HealthPost Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-10 18:53:42,2018-06-10 18:53:42,0.091s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.181,,2018-06-10 18:53:42,2018-06-10 18:56:34,2m - 51.825s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 18:56:34,2018-06-10 18:56:34,0.046s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:56:34,2018-06-10 18:56:34,0.118s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:56:34,2018-06-10 18:56:37,3.001s,PASSED
Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(HealthpostToCms/Page_HealthPost Store/font_PRNO18052018174)),Chrome 66.0.3359.181,,2018-06-10 18:56:37,2018-06-10 18:56:37,0.060s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-06-10 18:56:37,2018-06-10 18:56:37,0.010s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-06-10 18:56:37,2018-06-10 18:56:37,0.004s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:56:37,2018-06-10 18:56:38,0.636s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:56:38,2018-06-10 18:56:41,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:56:41,2018-06-10 18:56:41,0.102s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:56:41,2018-06-10 18:56:41,0.614s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 18:56:41,2018-06-10 18:56:44,3.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 18:56:44,2018-06-10 18:56:45,0.391s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 18:56:45,2018-06-10 18:56:46,0.697s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 18:56:46,2018-06-10 18:56:46,0.108s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 18:56:46,2018-06-10 18:56:46,0.113s,PASSED
