Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HealthPost_Store_Suite,Chrome 66.0.3359.181,Healthpost to store suite,2018-06-09 21:29:20,2018-06-09 22:19:31,50m - 11.595s,FAILED
,,,,,,
Test Cases/HEALTHPOST TEST CASES/TC_HP_001 Verify Schedule 1 Healthpost Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-09 21:29:20,2018-06-09 21:37:24,8m - 3.530s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-09 21:29:21,2018-06-09 21:29:24,3.016s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-09 21:29:24,2018-06-09 21:29:25,1.435s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-09 21:29:25,2018-06-09 21:29:26,1.142s,PASSED
click,Chrome 66.0.3359.181,,2018-06-09 21:29:26,2018-06-09 21:29:27,0.845s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-09 21:29:27,2018-06-09 21:29:27,0.153s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-09 21:29:27,2018-06-09 21:29:27,0.135s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-09 21:29:27,2018-06-09 21:29:30,3.015s,PASSED
sendKeys,Chrome 66.0.3359.181,,2018-06-09 21:29:30,2018-06-09 21:29:31,0.755s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-09 21:29:31,2018-06-09 21:29:34,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-09 21:29:34,2018-06-09 21:29:34,0.123s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-09 21:29:34,2018-06-09 21:29:35,1.003s,PASSED
click,Chrome 66.0.3359.181,,2018-06-09 21:29:35,2018-06-09 21:29:36,0.827s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-09 21:29:36,2018-06-09 21:29:37,1.003s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-09 21:29:37,2018-06-09 21:29:37,0.214s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(HealthpostToStore/Page_HealthPost Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-09 21:29:37,2018-06-09 21:29:37,0.116s,PASSED
"Statement - For ([e = 1, e <= medicineslength - 1, (e++)])",Chrome 66.0.3359.181,,2018-06-09 21:29:37,2018-06-09 21:31:27,1m - 49.880s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-09 21:31:27,2018-06-09 21:31:27,0.071s,PASSED
click,Chrome 66.0.3359.181,,2018-06-09 21:31:27,2018-06-09 21:31:27,0.110s,PASSED
