Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Inpatient_Suit,Chrome 66.0.3359.139,It Contains All The Inpatient Request,2018-05-14 16:07:58,2018-05-14 16:09:56,1m - 58.609s,FAILED
,,,,,,
Test Cases/INPATIENT TEST CASES/TC_INR_001 Verify Schedule 5 Inpatient Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-14 16:07:58,2018-05-14 16:08:38,39.444s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-14 16:07:59,2018-05-14 16:08:02,3.361s,PASSED
"Statement - out.println(""Verify Schedule 5 Inpatient Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-14 16:08:02,2018-05-14 16:08:02,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-14 16:08:02,2018-05-14 16:08:05,2.527s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-14 16:08:05,2018-05-14 16:08:06,1.163s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 16:08:06,2018-05-14 16:08:38,31.849s,FAILED
,,,,,,
Test Cases/INPATIENT TEST CASES/TC_INR_002 Verify Schedule 8 Inpatient Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-14 16:08:38,2018-05-14 16:09:17,39.613s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-14 16:08:38,2018-05-14 16:08:41,3.114s,PASSED
"Statement - out.println(""Verify Schedule 8 Inpatient Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-14 16:08:41,2018-05-14 16:08:41,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-14 16:08:41,2018-05-14 16:08:44,3.415s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-14 16:08:44,2018-05-14 16:08:46,1.137s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 16:08:46,2018-05-14 16:09:17,31.619s,FAILED
,,,,,,
Test Cases/INPATIENT TEST CASES/TC_INR_003 Verify Schedule 12 Inpatient Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-14 16:09:17,2018-05-14 16:09:56,38.593s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-14 16:09:18,2018-05-14 16:09:21,3.362s,PASSED
"Statement - out.println(""Verify Schedule 12 Inpatient Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-14 16:09:21,2018-05-14 16:09:21,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-14 16:09:21,2018-05-14 16:09:23,2.057s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-14 16:09:23,2018-05-14 16:09:24,1.138s,PASSED
click,Chrome 66.0.3359.139,,2018-05-14 16:09:24,2018-05-14 16:09:56,31.640s,FAILED
