Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Inpatient_Suit,Chrome 66.0.3359.139,It Contains All The Inpatient Request,2018-05-17 12:52:09,2018-05-17 13:03:04,10m - 55.692s,FAILED
,,,,,,
Test Cases/INPATIENT TEST CASES/TC_INR_001 Verify Schedule 5 Inpatient Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-17 12:52:09,2018-05-17 12:55:10,3m - 1.125s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 12:52:09,2018-05-17 12:52:12,2.739s,PASSED
"Statement - out.println(""Verify Schedule 5 Inpatient Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-17 12:52:12,2018-05-17 12:52:12,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 12:52:12,2018-05-17 12:52:14,2.104s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-17 12:52:14,2018-05-17 12:52:15,1.149s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:15,2018-05-17 12:52:17,2.020s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:17,2018-05-17 12:52:18,0.798s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:52:18,2018-05-17 12:52:18,0.154s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:52:18,2018-05-17 12:52:18,0.115s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:18,2018-05-17 12:52:21,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:21,2018-05-17 12:52:23,1.205s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:23,2018-05-17 12:52:26,3.003s,PASSED
scrollToPosition,Chrome 66.0.3359.139,,2018-05-17 12:52:26,2018-05-17 12:52:26,0.041s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:26,2018-05-17 12:52:28,2.002s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 12:52:28,2018-05-17 12:52:29,1.145s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:29,2018-05-17 12:52:32,3.002s,PASSED
refresh,Chrome 66.0.3359.139,,2018-05-17 12:52:32,2018-05-17 12:52:32,0.618s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:32,2018-05-17 12:52:35,3.005s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-17 12:52:35,2018-05-17 12:52:36,0.330s,PASSED
"Statement - Inpatient_RequestNumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Inpatient Request/Page_KDMC/input_txtno), ""value"")",Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:36,0.052s,PASSED
"Statement - RequestNo = Inpatient_RequestNumber.split(""/"")[2]",Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:36,0.004s,PASSED
"Statement - out.println(""RqID : "" + RequestNo)",Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:36,0.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:36,0.173s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Inpatient Request/Page_KDMC/select_--Select--Alcohol Rub i)),Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:36,0.082s,PASSED
"Statement - For ([i = 1, i < selectedoptions, (i++)])",Chrome 66.0.3359.139,,2018-05-17 12:52:36,2018-05-17 12:52:44,7.748s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-17 12:52:44,2018-05-17 12:52:44,0.064s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:44,2018-05-17 12:52:44,0.072s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:44,2018-05-17 12:52:47,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:47,2018-05-17 12:52:48,0.611s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:48,2018-05-17 12:52:51,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:51,2018-05-17 12:52:51,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:51,2018-05-17 12:52:51,0.501s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:52:51,2018-05-17 12:52:54,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:52:54,2018-05-17 12:52:55,0.559s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:52:55,2018-05-17 12:52:55,0.104s,PASSED
