Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Inpatient_Suite,Chrome 66.0.3359.181,It Contains All The Inpatient Request,2018-06-10 17:45:57,2018-06-10 17:55:11,9m - 14.281s,PASSED
,,,,,,
Test Cases/INPATIENT TEST CASES/TC_INR_001 Verify Schedule 5 Inpatient Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 17:45:57,2018-06-10 17:49:01,3m - 3.314s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-10 17:45:58,2018-06-10 17:46:01,3.028s,PASSED
"Statement - out.println(""Verify Schedule 5 Inpatient Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-06-10 17:46:01,2018-06-10 17:46:01,0.012s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 17:46:01,2018-06-10 17:46:03,1.784s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 17:46:03,2018-06-10 17:46:04,1.141s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:04,2018-06-10 17:46:06,2.019s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 17:46:06,2018-06-10 17:46:07,0.887s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 17:46:07,2018-06-10 17:46:07,0.135s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 17:46:07,2018-06-10 17:46:07,0.125s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:07,2018-06-10 17:46:10,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 17:46:10,2018-06-10 17:46:11,1.320s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:11,2018-06-10 17:46:14,3.001s,PASSED
scrollToPosition,Chrome 66.0.3359.181,,2018-06-10 17:46:14,2018-06-10 17:46:14,0.024s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:14,2018-06-10 17:46:16,2.003s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 17:46:16,2018-06-10 17:46:18,1.349s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:18,2018-06-10 17:46:21,3.003s,PASSED
refresh,Chrome 66.0.3359.181,,2018-06-10 17:46:21,2018-06-10 17:46:21,0.542s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 17:46:21,2018-06-10 17:46:24,3.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 17:46:24,2018-06-10 17:46:24,0.196s,PASSED
