Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Investigation_Suit,Chrome 66.0.3359.139,It Contains All Schedule Investigation Request,2018-05-17 12:25:47,2018-05-17 12:38:54,13m - 6.937s,FAILED
,,,,,,
Test Cases/INVESTIGATION TEST CASES/TC_INV_001 Verify Schedule 4 Investigation Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-17 12:25:47,2018-05-17 12:27:52,2m - 5.407s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 12:25:47,2018-05-17 12:25:52,4.405s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 12:25:52,2018-05-17 12:25:57,5.334s,PASSED
"Statement - out.println("" Verify Schedule 4 Investigation Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-17 12:25:57,2018-05-17 12:25:57,0.010s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-17 12:25:57,2018-05-17 12:25:58,1.139s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:25:58,2018-05-17 12:26:00,1.381s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:26:00,2018-05-17 12:26:00,0.129s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:26:00,2018-05-17 12:26:00,0.113s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:00,2018-05-17 12:26:03,3.019s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:03,2018-05-17 12:26:05,2.330s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:05,2018-05-17 12:26:06,1.179s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:06,2018-05-17 12:26:08,2.004s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:08,2018-05-17 12:26:09,0.488s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-17 12:26:09,2018-05-17 12:26:09,0.240s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/select_--Select--Automatic x-r)),Chrome 66.0.3359.139,,2018-05-17 12:26:09,2018-05-17 12:26:09,0.079s,PASSED
"Statement - For ([e = 1, e < medicineslength, (e++)])",Chrome 66.0.3359.139,,2018-05-17 12:26:09,2018-05-17 12:26:17,7.347s,PASSED
"Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/input_txtno), ""value"")",Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:17,0.044s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:17,0.001s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:17,0.004s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:17,0.044s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:17,0.078s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:17,2018-05-17 12:26:20,3.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:20,2018-05-17 12:26:20,0.563s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:20,2018-05-17 12:26:23,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:23,2018-05-17 12:26:23,0.093s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:23,2018-05-17 12:26:24,0.335s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:24,2018-05-17 12:26:27,3.000s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:27,2018-05-17 12:26:27,0.380s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:26:27,2018-05-17 12:26:27,0.107s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 12:26:27,2018-05-17 12:26:27,0.098s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-17 12:26:27,2018-05-17 12:26:30,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:30,2018-05-17 12:26:31,1.108s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:31,2018-05-17 12:26:34,2.087s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-17 12:26:34,2018-05-17 12:26:34,0.180s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-17 12:26:34,2018-05-17 12:26:34,0.148s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:34,2018-05-17 12:26:34,0.098s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC - CMO/input_1), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.139,,2018-05-17 12:26:34,2018-05-17 12:26:34,0.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 12:26:34,2018-05-17 12:26:35,0.591s,PASSED
