Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Investigation_Suite,Chrome 66.0.3359.139,It Contains All Schedule Investigation Request,2018-05-21 13:07:53,2018-05-21 13:21:02,13m - 8.634s,FAILED
,,,,,,
Test Cases/INVESTIGATION TEST CASES/TC_INV_001 Verify Schedule 4 Investigation Request Are Working Successfully Or Not,Chrome 66.0.3359.139,,2018-05-21 13:07:54,2018-05-21 13:10:00,2m - 6.586s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-21 13:07:54,2018-05-21 13:07:57,3.208s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-21 13:07:57,2018-05-21 13:08:00,2.726s,PASSED
"Statement - out.println("" Verify Schedule 4 Investigation Request Are Working Successfully Or Not"")",Chrome 66.0.3359.139,,2018-05-21 13:08:00,2018-05-21 13:08:00,0.021s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-21 13:08:00,2018-05-21 13:08:01,1.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:01,2018-05-21 13:08:02,1.080s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:02,2018-05-21 13:08:02,0.133s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:02,2018-05-21 13:08:02,0.113s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:02,2018-05-21 13:08:05,3.015s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:05,2018-05-21 13:08:07,1.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:07,2018-05-21 13:08:08,1.166s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:08,2018-05-21 13:08:10,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:10,2018-05-21 13:08:10,0.676s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:08:10,2018-05-21 13:08:11,0.186s,PASSED
Statement - medicineslength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/select_--Select--Automatic x-r)),Chrome 66.0.3359.139,,2018-05-21 13:08:11,2018-05-21 13:08:11,0.079s,PASSED
"Statement - For ([e = 1, e < medicineslength, (e++)])",Chrome 66.0.3359.139,,2018-05-21 13:08:11,2018-05-21 13:08:18,7.300s,PASSED
"Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC/input_txtno), ""value"")",Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:18,0.044s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:18,0.000s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:18,0.003s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:18,0.043s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:18,0.076s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:18,2018-05-21 13:08:21,3.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:21,2018-05-21 13:08:22,1.035s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:22,2018-05-21 13:08:25,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:25,2018-05-21 13:08:25,0.107s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:25,2018-05-21 13:08:26,0.414s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:26,2018-05-21 13:08:29,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:29,2018-05-21 13:08:29,0.701s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:29,2018-05-21 13:08:30,0.114s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:30,2018-05-21 13:08:30,0.098s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:30,2018-05-21 13:08:33,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:33,2018-05-21 13:08:34,1.687s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:34,2018-05-21 13:08:36,1.563s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:08:36,2018-05-21 13:08:36,0.191s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:08:36,2018-05-21 13:08:36,0.147s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:36,2018-05-21 13:08:36,0.084s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(lab/Page_KDMC - CMO/input_1), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.139,,2018-05-21 13:08:36,2018-05-21 13:08:36,0.012s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:36,2018-05-21 13:08:37,0.599s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:37,2018-05-21 13:08:39,2.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-21 13:08:39,2018-05-21 13:08:39,0.176s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:39,2018-05-21 13:08:39,0.084s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:39,2018-05-21 13:08:41,2.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:41,2018-05-21 13:08:42,0.453s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:42,2018-05-21 13:08:45,3.002s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:45,2018-05-21 13:08:45,0.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:45,2018-05-21 13:08:45,0.460s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:45,2018-05-21 13:08:48,3.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:48,2018-05-21 13:08:49,0.660s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:49,2018-05-21 13:08:49,0.110s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-21 13:08:49,2018-05-21 13:08:49,0.100s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:49,2018-05-21 13:08:52,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:52,2018-05-21 13:08:54,1.474s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-21 13:08:54,2018-05-21 13:08:57,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:57,2018-05-21 13:08:57,0.136s,PASSED
click,Chrome 66.0.3359.139,,2018-05-21 13:08:57,2018-05-21 13:08:57,0.704s,PASSED
