Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MOH REQUEST AND GRN,Chrome 66.0.3359.181,,2018-06-10 01:07:22,2018-06-10 01:31:08,23m - 46.152s,FAILED
,,,,,,
Test Cases/TEST/MOH REQUEST AND GRN/Moh Request GRN Schedule 1,Chrome 66.0.3359.181,,2018-06-10 01:07:23,2018-06-10 01:12:41,5m - 18.298s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-10 01:07:23,2018-06-10 01:07:26,3.059s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 01:07:26,2018-06-10 01:07:28,1.548s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 01:07:28,2018-06-10 01:07:29,1.144s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:07:29,2018-06-10 01:07:30,0.728s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 01:07:30,2018-06-10 01:07:30,0.149s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 01:07:30,2018-06-10 01:07:30,0.135s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:07:30,2018-06-10 01:07:33,3.018s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:07:33,2018-06-10 01:07:34,0.852s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:07:34,2018-06-10 01:07:35,1.137s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 01:07:35,2018-06-10 01:07:35,0.473s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 01:07:35,2018-06-10 01:07:36,0.181s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-06-10 01:07:36,2018-06-10 01:07:36,0.105s,PASSED
"Statement - For ([j = 1, j <= selectedoptions - 1, (j++)])",Chrome 66.0.3359.181,,2018-06-10 01:07:36,2018-06-10 01:08:23,47.245s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 01:08:23,2018-06-10 01:08:23,0.076s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:23,2018-06-10 01:08:23,0.107s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:08:23,2018-06-10 01:08:26,3.002s,PASSED
Statement - Request1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/font_PRNO0505201876)),Chrome 66.0.3359.181,,2018-06-10 01:08:26,2018-06-10 01:08:26,0.076s,PASSED
"Statement - out.println(""Length OF The Medicine "" + Request1)",Chrome 66.0.3359.181,,2018-06-10 01:08:26,2018-06-10 01:08:26,0.007s,PASSED
"Statement - RequestNUmber = Request1.split(""/"")[2].trim()",Chrome 66.0.3359.181,,2018-06-10 01:08:26,2018-06-10 01:08:26,0.004s,PASSED
"Statement - out.println(""ID IS "" + RequestNUmber)",Chrome 66.0.3359.181,,2018-06-10 01:08:26,2018-06-10 01:08:26,0.001s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:08:26,2018-06-10 01:08:29,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:29,2018-06-10 01:08:30,0.542s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:30,2018-06-10 01:08:31,1.638s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:31,2018-06-10 01:08:32,0.417s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:08:32,2018-06-10 01:08:36,4.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:36,2018-06-10 01:08:36,0.489s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 01:08:36,2018-06-10 01:08:36,0.144s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 01:08:36,2018-06-10 01:08:37,0.125s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:08:37,2018-06-10 01:08:40,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:08:40,2018-06-10 01:08:42,1.971s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:08:42,2018-06-10 01:09:02,20.001s,PASSED
scrollToPosition,Chrome 66.0.3359.181,,2018-06-10 01:09:02,2018-06-10 01:09:02,0.023s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:02,2018-06-10 01:09:02,0.113s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:02,2018-06-10 01:09:04,2.027s,PASSED
"Statement - RequestNumberId = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC - CMS/input_PO0032), ""xpath"", ""equals"", ""//*[@id ="" + RequestNUmber + ""]"", true)",Chrome 66.0.3359.181,,2018-06-10 01:09:04,2018-06-10 01:09:04,0.061s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:04,2018-06-10 01:09:04,0.104s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:04,2018-06-10 01:09:07,3.002s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 01:09:07,2018-06-10 01:09:07,0.177s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:07,2018-06-10 01:09:07,0.092s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:07,2018-06-10 01:09:10,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:10,2018-06-10 01:09:11,1.144s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:11,2018-06-10 01:09:14,3.000s,PASSED
scrollToPosition,Chrome 66.0.3359.181,,2018-06-10 01:09:14,2018-06-10 01:09:14,0.011s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:14,2018-06-10 01:09:14,0.106s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:14,2018-06-10 01:09:16,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:16,2018-06-10 01:09:17,0.599s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:17,2018-06-10 01:09:19,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 01:09:19,2018-06-10 01:09:19,0.150s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 01:09:19,2018-06-10 01:09:19,0.303s,PASSED
Statement - PONumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC/input_lblpono)).trim(),Chrome 66.0.3359.181,,2018-06-10 01:09:19,2018-06-10 01:09:20,0.066s,PASSED
"Statement - PONumber1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(MOH AND GRN/Page_KDMC/input_lblpono), ""value"").trim()",Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.035s,PASSED
"Statement - out.println(""PO NUMBER :"" + PONumber)",Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.000s,PASSED
"Statement - out.println(""PO NUMBER :"" + PONumber1)",Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.128s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.051s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:20,0.108s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:20,2018-06-10 01:09:23,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:23,2018-06-10 01:09:23,0.149s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:23,2018-06-10 01:09:26,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 01:09:26,2018-06-10 01:09:27,0.489s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 01:09:27,2018-06-10 01:09:30,3.002s,PASSED
