Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Moh_Request,Chrome 66.0.3359.139,,2018-05-05 10:49:43,2018-05-05 11:05:32,15m - 48.642s,FAILED
,,,,,,
Test Cases/MOHTOCMSREQUEST/MohRequestSchedule2,Chrome 66.0.3359.139,,2018-05-05 10:49:43,2018-05-05 10:52:34,2m - 50.220s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-05 10:49:44,2018-05-05 10:49:47,3.055s,PASSED
Statement - i = 1,Chrome 66.0.3359.139,,2018-05-05 10:49:47,2018-05-05 10:49:47,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-05 10:49:47,2018-05-05 10:49:49,1.845s,PASSED
maximizeWindow,Chrome 66.0.3359.139,,2018-05-05 10:49:49,2018-05-05 10:49:50,1.151s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:49:50,2018-05-05 10:49:50,0.765s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-05 10:49:50,2018-05-05 10:49:51,0.174s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-05 10:49:51,2018-05-05 10:49:51,0.156s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:49:51,2018-05-05 10:49:55,4.018s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:49:55,2018-05-05 10:49:56,0.907s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:49:56,2018-05-05 10:49:58,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:49:58,2018-05-05 10:49:58,0.534s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:49:58,2018-05-05 10:50:00,2.003s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-05 10:50:00,2018-05-05 10:50:01,0.241s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:50:01,2018-05-05 10:50:03,2.002s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-05 10:50:03,2018-05-05 10:50:03,0.399s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Schedule2/Page_KDMC - CMS/select_--Select--Albendazole)),Chrome 66.0.3359.139,,2018-05-05 10:50:03,2018-05-05 10:50:03,0.095s,PASSED
"Statement - For ([i, i <= selectedoptions - 1, (i++)])",Chrome 66.0.3359.139,,2018-05-05 10:50:03,2018-05-05 10:52:24,2m - 20.675s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:52:24,2018-05-05 10:52:27,3.001s,PASSED
scrollToElement,Chrome 66.0.3359.139,,2018-05-05 10:52:27,2018-05-05 10:52:27,0.088s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:52:27,2018-05-05 10:52:27,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:52:27,2018-05-05 10:52:29,1.873s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:52:29,2018-05-05 10:52:30,1.163s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-05 10:52:30,2018-05-05 10:52:33,3.001s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:52:33,2018-05-05 10:52:33,0.132s,PASSED
click,Chrome 66.0.3359.139,,2018-05-05 10:52:33,2018-05-05 10:52:34,0.453s,FAILED
,,,,,,
