Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pharmacy_Suite,Chrome 66.0.3359.181,,2018-05-28 09:10:24,2018-05-28 09:48:10,37m - 45.945s,FAILED
,,,,,,
Test Cases/PHARMACY TEST CASES/TC_PHAR_002 Verify Schedule 2 Pharmacy Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-05-28 09:10:24,2018-05-28 09:20:15,9m - 50.907s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-28 09:10:24,2018-05-28 09:10:27,2.850s,PASSED
"Statement - out.println(""Verify Schedule 2 Pharmacy Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-05-28 09:10:27,2018-05-28 09:10:27,0.011s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-28 09:10:27,2018-05-28 09:10:29,2.006s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-28 09:10:29,2018-05-28 09:10:30,1.159s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:10:30,2018-05-28 09:10:31,0.750s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:10:31,2018-05-28 09:10:31,0.143s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:10:31,2018-05-28 09:10:31,0.111s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:10:31,2018-05-28 09:10:34,3.017s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:10:34,2018-05-28 09:10:35,0.829s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:10:35,2018-05-28 09:10:38,3.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:10:38,2018-05-28 09:10:40,1.953s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:10:40,2018-05-28 09:10:43,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:10:43,2018-05-28 09:10:43,0.139s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:10:43,2018-05-28 09:10:44,0.708s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-28 09:10:44,2018-05-28 09:10:44,0.187s,PASSED
Statement - MedicineLength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_KDMC-Pharmacy/select_--Select--Albendazole)),Chrome 66.0.3359.181,,2018-05-28 09:10:44,2018-05-28 09:10:45,0.271s,PASSED
"Statement - For ([l = 1, l <= MedicineLength - 1, (l++)])",Chrome 66.0.3359.181,,2018-05-28 09:10:45,2018-05-28 09:12:49,2m - 4.403s,PASSED
"Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_KDMC-Pharmacy/input_txtno), ""value"")",Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:49,0.048s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:49,0.000s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:49,0.004s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:49,0.057s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:49,0.106s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:12:49,2018-05-28 09:12:52,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:12:52,2018-05-28 09:12:53,0.860s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:12:53,2018-05-28 09:12:56,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:12:56,2018-05-28 09:12:57,1.064s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:12:57,2018-05-28 09:13:00,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:00,2018-05-28 09:13:00,0.120s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:00,2018-05-28 09:13:01,0.536s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:01,2018-05-28 09:13:04,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:04,2018-05-28 09:13:04,0.455s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:13:04,2018-05-28 09:13:04,0.144s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:13:04,2018-05-28 09:13:04,0.093s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:04,2018-05-28 09:13:07,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:07,2018-05-28 09:13:08,0.709s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:08,2018-05-28 09:13:09,0.467s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:09,0.170s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:09,0.153s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:09,0.319s,PASSED
"Statement - ID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_KDMC - CMO/input_2), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:09,0.027s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:09,0.086s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:09,2018-05-28 09:13:12,3.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-28 09:13:12,2018-05-28 09:13:13,0.171s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:13,2018-05-28 09:13:13,0.092s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:13,2018-05-28 09:13:16,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:16,2018-05-28 09:13:16,0.508s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:16,2018-05-28 09:13:19,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:19,2018-05-28 09:13:19,0.126s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:19,2018-05-28 09:13:20,0.511s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:20,2018-05-28 09:13:23,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:23,2018-05-28 09:13:24,0.706s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:13:24,2018-05-28 09:13:24,0.232s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:13:24,2018-05-28 09:13:24,0.233s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:24,2018-05-28 09:13:27,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:27,2018-05-28 09:13:28,1.254s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:28,2018-05-28 09:13:31,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:31,2018-05-28 09:13:31,0.121s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:31,2018-05-28 09:13:32,1.069s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:32,2018-05-28 09:13:34,2.000s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-28 09:13:34,2018-05-28 09:13:35,0.266s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:35,2018-05-28 09:13:37,2.000s,PASSED
"Statement - ChooseRequest = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_Store/input_2), ""xpath"", ""equals"", ""//*[@id="" + RID + ""]"", true)",Chrome 66.0.3359.181,,2018-05-28 09:13:37,2018-05-28 09:13:37,0.022s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:13:37,2018-05-28 09:13:37,0.639s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:13:37,2018-05-28 09:13:39,2.000s,PASSED
Statement - selectedoptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_Store/select_--Select--Amlodepin -5)),Chrome 66.0.3359.181,,2018-05-28 09:13:39,2018-05-28 09:13:39,0.087s,PASSED
"Statement - For ([a = 1, a <= selectedoptions - 1, (a++)])",Chrome 66.0.3359.181,,2018-05-28 09:13:39,2018-05-28 09:19:58,6m - 18.771s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-05-28 09:19:58,2018-05-28 09:19:58,0.061s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:19:58,2018-05-28 09:19:58,0.136s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:19:58,2018-05-28 09:20:01,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:20:01,2018-05-28 09:20:08,6.802s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-28 09:20:08,2018-05-28 09:20:11,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:20:11,2018-05-28 09:20:11,0.114s,PASSED
click,Chrome 66.0.3359.181,,2018-05-28 09:20:11,2018-05-28 09:20:14,2.760s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-28 09:20:14,2018-05-28 09:20:15,0.769s,PASSED
"Statement - out.println(""Schedule 2 Pharmacy Request Are Working Successfully"")",Chrome 66.0.3359.181,,2018-05-28 09:20:15,2018-05-28 09:20:15,0.000s,PASSED
,,,,,,
Test Cases/PHARMACY TEST CASES/TC_PHAR_003 Verify Schedule 3 Pharmacy Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-05-28 09:20:15,2018-05-28 09:25:07,4m - 52.405s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-28 09:20:15,2018-05-28 09:20:31,16.304s,PASSED
