Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pharmacy_Suite,Chrome 66.0.3359.181,,2018-06-10 16:43:10,2018-06-10 17:19:59,36m - 49.112s,FAILED
,,,,,,
Test Cases/PHARMACY TEST CASES/TC_PHAR_002 Verify Schedule 2 Pharmacy Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-06-10 16:43:10,2018-06-10 16:52:26,9m - 16.347s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-10 16:43:10,2018-06-10 16:43:13,3.071s,PASSED
"Statement - out.println(""Verify Schedule 2 Pharmacy Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-06-10 16:43:13,2018-06-10 16:43:13,0.012s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-10 16:43:13,2018-06-10 16:43:15,1.546s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-10 16:43:15,2018-06-10 16:43:16,1.144s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:43:16,2018-06-10 16:43:17,0.709s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 16:43:17,2018-06-10 16:43:17,0.139s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-10 16:43:17,2018-06-10 16:43:17,0.124s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 16:43:17,2018-06-10 16:43:20,3.017s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:43:20,2018-06-10 16:43:21,1.021s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 16:43:21,2018-06-10 16:43:24,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:43:24,2018-06-10 16:43:26,2.014s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 16:43:26,2018-06-10 16:43:29,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:43:29,2018-06-10 16:43:29,0.099s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:43:29,2018-06-10 16:43:30,0.961s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-06-10 16:43:30,2018-06-10 16:43:31,0.371s,PASSED
Statement - MedicineLength = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_KDMC-Pharmacy/select_--Select--Albendazole)),Chrome 66.0.3359.181,,2018-06-10 16:43:31,2018-06-10 16:43:31,0.092s,PASSED
"Statement - For ([l = 1, l <= MedicineLength - 1, (l++)])",Chrome 66.0.3359.181,,2018-06-10 16:43:31,2018-06-10 16:45:34,2m - 3.087s,PASSED
"Statement - RN1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PharmacyRequest/Page_KDMC-Pharmacy/input_txtno), ""value"")",Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:34,0.049s,PASSED
Statement - out.println(RN1),Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:34,0.001s,PASSED
"Statement - RID = RN1.split(""/"")[2]",Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:34,0.004s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:34,0.048s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:34,0.106s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-10 16:45:34,2018-06-10 16:45:37,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-06-10 16:45:37,2018-06-10 16:45:38,0.787s,PASSED
