Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Store_Suit,Chrome 66.0.3359.181,,2018-05-23 09:43:47,2018-05-23 10:13:54,30m - 6.186s,ERROR
,,,,,,
Test Cases/STORE TO CMS REQUEST TEST CASES/TC_STCMS_001 To Verify Schedule 1 Store To CMS Request Are Working Successfully Or Not,Chrome 66.0.3359.181,,2018-05-23 09:43:48,2018-05-23 09:51:22,7m - 34.134s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-23 09:43:48,2018-05-23 09:43:52,3.529s,PASSED
"Statement - out.println(""Verify Schedule 1 Store Request Are Working Successfully Or Not"")",Chrome 66.0.3359.181,,2018-05-23 09:43:52,2018-05-23 09:43:52,0.010s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-23 09:43:52,2018-05-23 09:43:55,2.719s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-23 09:43:55,2018-05-23 09:43:56,1.149s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:43:56,2018-05-23 09:43:57,1.164s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:43:57,2018-05-23 09:43:57,0.213s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:43:57,2018-05-23 09:43:57,0.116s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:43:57,2018-05-23 09:44:00,3.019s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:44:00,2018-05-23 09:44:02,1.363s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:44:02,2018-05-23 09:44:05,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:44:05,2018-05-23 09:44:05,0.152s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:44:05,2018-05-23 09:44:07,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:44:07,2018-05-23 09:44:08,0.956s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-23 09:44:08,2018-05-23 09:44:08,0.368s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-23 09:44:08,2018-05-23 09:44:08,0.180s,PASSED
Statement - SelectedOptions = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getNumberOfTotalOption(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/select_--Select--Adernaline 0.)),Chrome 66.0.3359.181,,2018-05-23 09:44:08,2018-05-23 09:44:08,0.098s,PASSED
"Statement - For ([y = 1, y < SelectedOptions, (y++)])",Chrome 66.0.3359.181,,2018-05-23 09:44:08,2018-05-23 09:46:43,2m - 34.212s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:46:43,2018-05-23 09:46:45,2.001s,PASSED
scrollToElement,Chrome 66.0.3359.181,,2018-05-23 09:46:45,2018-05-23 09:46:48,3.032s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:46:48,2018-05-23 09:46:48,0.917s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:46:48,2018-05-23 09:46:52,4.001s,PASSED
Statement - Cms_RequestNumber = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/font_PRNO050520189)),Chrome 66.0.3359.181,,2018-05-23 09:46:52,2018-05-23 09:46:55,2.582s,PASSED
Statement - CR = Cms_RequestNumber.trim(),Chrome 66.0.3359.181,,2018-05-23 09:46:55,2018-05-23 09:46:55,0.001s,PASSED
"Statement - out.println(""RQ :"" + Cms_RequestNumber)",Chrome 66.0.3359.181,,2018-05-23 09:46:55,2018-05-23 09:46:55,0.000s,PASSED
"Statement - RequestNumberID = Cms_RequestNumber.split(""/"")[2].trim()",Chrome 66.0.3359.181,,2018-05-23 09:46:55,2018-05-23 09:46:56,1.167s,PASSED
"Statement - out.println(""RQ ID :"" + RequestNumberID)",Chrome 66.0.3359.181,,2018-05-23 09:46:56,2018-05-23 09:46:56,0.001s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:46:56,2018-05-23 09:46:59,3.001s,PASSED
Statement - ok = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.click(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_Store/button_OK)),Chrome 66.0.3359.181,,2018-05-23 09:46:59,2018-05-23 09:47:02,3.158s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:02,2018-05-23 09:47:05,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:05,2018-05-23 09:47:06,0.931s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:06,2018-05-23 09:47:17,10.779s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:17,2018-05-23 09:47:20,3.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:20,2018-05-23 09:47:26,6.068s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:47:26,2018-05-23 09:47:27,0.756s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:47:27,2018-05-23 09:47:28,0.632s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:28,2018-05-23 09:47:31,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:31,2018-05-23 09:47:36,5.525s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:36,2018-05-23 09:47:38,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:38,2018-05-23 09:47:39,0.724s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:39,2018-05-23 09:47:39,0.100s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:39,2018-05-23 09:47:39,0.052s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:39,2018-05-23 09:47:41,2.456s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:41,2018-05-23 09:47:43,2.002s,PASSED
"Statement - approval = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Store Request Schedule 1/Page_KDMC - CMO/input_PRNO050520189), ""xpath"", ""equals"", ""//*[@id="" + RequestNumberID + ""]"", true)",Chrome 66.0.3359.181,,2018-05-23 09:47:43,2018-05-23 09:47:43,0.030s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:43,2018-05-23 09:47:44,0.101s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:44,2018-05-23 09:47:46,2.001s,PASSED
selectOptionByIndex,Chrome 66.0.3359.181,,2018-05-23 09:47:46,2018-05-23 09:47:46,0.216s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:46,2018-05-23 09:47:46,0.098s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:46,2018-05-23 09:47:48,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:48,2018-05-23 09:47:51,3.048s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:51,2018-05-23 09:47:53,2.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:53,2018-05-23 09:47:54,0.743s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:47:54,2018-05-23 09:47:58,4.472s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:47:58,2018-05-23 09:48:01,3.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:48:01,2018-05-23 09:48:04,2.467s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:48:04,2018-05-23 09:48:04,0.813s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:48:04,2018-05-23 09:48:05,0.643s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:48:05,2018-05-23 09:48:08,3.001s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:48:08,2018-05-23 09:48:12,3.597s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:48:12,2018-05-23 09:48:14,2.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:48:14,2018-05-23 09:48:15,0.881s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:48:15,2018-05-23 09:48:17,2.000s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:48:17,2018-05-23 09:48:19,2.336s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-23 09:48:19,2018-05-23 09:48:20,0.871s,PASSED
click,Chrome 66.0.3359.181,,2018-05-23 09:48:20,2018-05-23 09:48:20,0.660s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-23 09:48:20,2018-05-23 09:48:22,2.001s,PASSED
