Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
nn,,,2018-06-02 11:38:41,2018-06-02 11:38:42,1.383s,ERROR
,,,,,,
Test Cases/TEST/GRN RECEIVE IN CMS/Login,,,2018-06-02 11:38:41,2018-06-02 11:38:42,0.879s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo_Account),,,2018-06-02 11:38:41,2018-06-02 11:38:42,0.587s,PASSED
,,,,,,
Test Cases/TEST/GRN RECEIVE IN CMS/Login,,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.061s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo_Account),,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.034s,PASSED
,,,,,,
Test Cases/TEST/GRN RECEIVE IN CMS/Login,,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.053s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo_Account),,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.032s,PASSED
,,,,,,
Test Cases/TEST/GRN RECEIVE IN CMS/Login,,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.045s,ERROR
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo_Account),,,2018-06-02 11:38:42,2018-06-02 11:38:42,0.023s,PASSED
